hash,timestamp,input_addresses,input_values,output_addresses,output_values,fee
0fa72be14411bc97ae67e39f186669e9ced51915db511c12c5c59e796476f890,1641393589,"['f09de5b50a96669a8b0bc049eae87dc5c7', 'f5b815022c686bee76cc6b81bba45c339e', '1a7cd91753ca4e52882b9576f1848b9341']","[2.37319367, 8.52540695, 9.80241209]","['b1bcb5f755249ffe296e09fa4cc26525ec', '1ce37b10c54a2bb9ee4e1010871007b1b9', '1a7cd91753ca4e52882b9576f1848b9341', '204953f0bcb5d1f3257c3a1932225265ec', '15ac7f3765ec60a9ea32036a9790c8a449']","[6.31621647, 3.75395243, 4.22083212, 1.70623922, 4.64635546]",0.05741701
1ae70e14c853caaffef2c6b7a155f8f12669504b38c62eefe25b576dbfede4fd,1641458246,"['1d5b65d7e840afcfd23c4d74aca5b322cb', '4f70aa43bd89f71e2cded8f7103a9e6536', '87309855481bdfaedd71f4dbff29ceab67']","[5.33956317, 8.22521333, 7.60240796]",['21ed0ce9c8b33c23665335828ff5978a6a'],[21.00743178],0.15975268
400aa8981cbe18ca4ab88c97076f957ec5d675eeaade615328167f9eb8dc4bfb,1641463466,"['1ce4e884247b237e6f932f4fe4ff30e68a', '4d6a36cd44d977a6a3c9ff68c2d94bbe1f']","[6.13784065, 4.94920634]","['4fc32d460327110dce173d6f2a3cce1fe0', '5dde0eb7987d5b618a28b82e3855f58ed5', 'a34befdebd0038a906d33cdf6be8430099', 'c816c976cc4e32fe16f3356407338a4e37', '53c11c8387b4ed4fce0967b08317239def']","[2.04379901, 1.34907342, 2.6786186, 1.07898232, 3.87005175]",0.06652189
5ffbfbd7875b4cc02311835282cb872db74caa045920a9eac78139a0a907232e,1641482508,['e7823a422eb566ac80671d684e17a48534'],[1.97416126],['e7ef8cbe0b859369dab6ac7a7bb37b52e2'],[1.65936395],0.09306241
12b6f211c5aab6cfc1b029c096fc80ffe5c0951735a4c062774f86253e7d9557,1641517264,"['63f9f80a4e6fb408230167739b0b61142d', 'f0e6035f2ebd8125aef8de92390bb4133d']","[1.58745587, 6.11865702]","['bf4680bb0862d1853eee99de3bd469c576', 'e34925d40f59776c5d371739815d29f666', 'c6f46a8d7a1b9164847192d700cd9047ed', 'd24a67d9462218fae4672f3534f0ef1a9c']","[2.87239851, 0.93214345, 0.51432248, 3.34233295]",0.0449155
1a9e9a42486bbba9cfea8fb7098f6c6d40083f183db50616544d78f32a0a7970,1641540924,['6a640b6e18cd110a9a6f70a51c7bb83448'],[3.22447782],"['57821c9f957e3c8d861b46b6f61b2a0f65', 'f7bfbdd41819c8d7762b5de62811b92a23', 'b1bcb5f755249ffe296e09fa4cc26525ec']","[0.38072683, 0.86737909, 1.96410861]",0.01226329
c0a7e182bb60f0c3de1fa2e28d82102360972251fd675d985287f2e39a8207eb,1641556778,"['b1bcb5f755249ffe296e09fa4cc26525ec', 'fe5872185fa9cba28878f806dff7d991b1']","[9.15152287, 1.0345566]","['07379709b32648049da2752090d830c1bb', '204953f0bcb5d1f3257c3a1932225265ec']","[2.18576122, 7.91465412]",0.08566413
27da4a1373f6c11c58f864cab6731defc5e1ccd56d869e1686abc3849737f6d8,1641584347,"['21ed0ce9c8b33c23665335828ff5978a6a', 'c165a91581c7a5438be7d75e37efd69c08']","[3.88557849, 1.50878835]",['40dd527ad2e14c2e3e0f88b95ce513e7c3'],[8.33082161],0.03702998
2aa438858bc2e7b718277b31533ec26b23c735996baa8184ee88ab09799d83fe,1641585054,"['e7823a422eb566ac80671d684e17a48534', '1d9ce774cc4b3a48d47740c32320ba1106']","[1.60480495, 4.51714832]",['83ffdcd06c234cd44863f2b51aa6975068'],[1.96254649],0.07934702
8b742b743184c9d3d9061d4ce5b077a0197d629b817eb310f91666be066dd1c1,1641592683,['83ffdcd06c234cd44863f2b51aa6975068'],[4.89114631],"['c816c976cc4e32fe16f3356407338a4e37', 'fe5872185fa9cba28878f806dff7d991b1', '9b511c4f31439699097e89f1c6e33773a8']","[0.49145632, 0.8695624, 0.75008843]",0.04066012
8f3208eaac6dbe7a247dc55d19fe332294a8dc01bbb8ad132f9090f85b24fbd7,1641630753,['31da545c3b644ef18d1536ee7e86f25466'],[96.17839854],['51e2b648a7a3a4144940f5ccc839ac5736'],[91.18075396],0.44037548
75f8fdb967279a1cd540f9bea8be2ab4f6d1c8f2b91734dfd4ab1dfe93128d58,1641638658,['771216b25a4852420805da129f1de6a3e5'],[0.00089099],['575fefd9897d1f6ecfabd336768801dfb2'],[0.0001719],7.958e-05
aad127dacfd7aa90b1f698c429eb0cd10625cdf3673ba2ff210413784499002a,1641716423,['33242d9a0d6c07f4fd0585092dc288d38a'],[9.66421881],"['01c3ef7943ceab1f533b84a47a659a7ca3', 'bf4680bb0862d1853eee99de3bd469c576']","[3.42315161, 6.22879342]",0.01227378
b960ee962f0c977c0b0d118c54f733f7ab9fdd6e3f22630eb3384dd2e1597ed4,1641739334,['83ffdcd06c234cd44863f2b51aa6975068'],[1.77628773],"['15ac7f3765ec60a9ea32036a9790c8a449', '0192ce1c53b9590c3ea64f6f1653d24d69', 'edc66288a86874a560b59eb3d8d39d5b0e']","[1.15457351, 1.12603447, 0.50680247]",0.01266486
ec32ec5bd7a384fb7ca9d310c6c9a93648c03ff1c49dedc9266c8e77ff52cf1b,1641741109,['68a2e49402e529f2b97cee875f27d12a61'],[76.65780726],['8ec7043821b4aecb295784c12af4dbbb9d'],[88.42888062],0.10596116
73a64522369386e788852bd86f0689a874f4d83d584954581bef92b9738e3ea2,1641748161,['fedac584dbf5cc030fc024c1283558ae18'],[7.75431832],"['f5b815022c686bee76cc6b81bba45c339e', 'f57714a45b39d5a312d236e0512f11782e', '50a2f80c864d124ccf368f3e5505b11c5e']","[1.73109499, 2.70437245, 3.27651361]",0.04233727
6d647de010c1f35b466c2e1ea285fda3bbc9b515ecc3e33273683f9c935fb24e,1641798293,"['00616549f4d24e047419c1d3cab9a2e7c9', 'b1bcb5f755249ffe296e09fa4cc26525ec']","[2.4747956, 5.94902765]",['b1bcb5f755249ffe296e09fa4cc26525ec'],[8.33987912],0.08394413
a26406360c6b11c06da622a56705b98e7fe1cff5de71b9342deecdd29d15aa2a,1641921662,"['41b0b18b1cdbc8b73d8c087056e33af864', 'b1bcb5f755249ffe296e09fa4cc26525ec']","[1.66401561, 3.68774601]",['5718e78ddc5f65b810e00292a6f69f3f43'],[4.1347364],0.07329102
512f465c8ad6fbc23dbb723bb1d96fb201ff00da80e9b3289f20e7f8412bd67b,1641954681,['86be810244bf1d7841afdbf538c734f05a'],[6.43045989],"['64ebf564c12a6b63915a6342c8e7dbb024', '204953f0bcb5d1f3257c3a1932225265ec', '1ce4e884247b237e6f932f4fe4ff30e68a', 'a34befdebd0038a906d33cdf6be8430099']","[2.70006631, 0.71191665, 0.6227332, 2.34526411]",0.05047962
1591551cbc9893304217cffb71ca51ca979e5b93308197b5c5440b33b2a4f3c5,1641996992,['6137c8da21e2b596a5c2527ff7f4809d0e'],[1.77345027],['8fc7b133cf0429ead19aa8cbaaf640d168'],[1.77079716],0.08146935
6dd1f2d4533d69c93e4871c0dc273040c17e2648bddf86d33aa75dda34a2b3a9,1642086927,"['26e37e6156a7b52a215995b2b1f61e2937', '5fb3cc65954d625073a73fcbbfc0e95afd', '4b37fe631826d132c908b222bb24844244', '5dde0eb7987d5b618a28b82e3855f58ed5', 'd2f51e246c47624985c6d13d3845926fb9']","[1.06067458, 1.02784261, 0.90379073, 0.90593705, 0.93815144]","['26e37e6156a7b52a215995b2b1f61e2937', 'fedac584dbf5cc030fc024c1283558ae18', '1f270ce14af33fdd3b524d8018e7066642', '57821c9f957e3c8d861b46b6f61b2a0f65', '86be810244bf1d7841afdbf538c734f05a']","[1.09121102, 1.09121102, 1.09121102, 1.09121102, 1.09121102]",0.02654534
cdec0b26a0a1f963e46ce32d69aa3070e34b20ff633967d4c1a3d41eed414341,1642113415,['d24a67d9462218fae4672f3534f0ef1a9c'],[0.42194001],"['191eed2fc0e6745c87740873d8a27af66a', 'd5f7ce1a9e9dd4f30c87c8623e9d924773', 'e7823a422eb566ac80671d684e17a48534', 'c165a91581c7a5438be7d75e37efd69c08', '839cd16f9859ded0fcb393c34e20a2a717']","[0.08549306, 0.12937656, 0.08052309, 0.03855313, 0.0866796]",0.00131457
f91ead49828912fadd5873704a70e213c00dfd24ef9275b02f31bdad21f899b0,1642146803,['87309855481bdfaedd71f4dbff29ceab67'],[0.66625793],['b35e6207975232e8bc04ebccc02aabcee9'],[0.66473155],0.00152638
6bd4c5d5e1e0c7f0dccb63a26a1048abd2b746d52b50803a853589938e404b3d,1642151233,['6600f41d286b096050b052934fb6ede06d'],[4.37468525],"['26e37e6156a7b52a215995b2b1f61e2937', '6600f41d286b096050b052934fb6ede06d', 'f356066644ebb4c59e80cecc2698bbec79']","[1.22831656, 0.54411574, 2.5706728]",0.03158015
4e7019ae69472cd3ba0579cf62c28878085f847d27efbbfbef1be933c07db739,1642197096,['5fb3cc65954d625073a73fcbbfc0e95afd'],[1.6789432],['383d05eb9866eeb8b9961f9ed3e31154c1'],[1.71702074],0.07902346
8d3c2a36c783a6ea45b8c342a80c4065974f7d70d0da1d894ac28bde06126e27,1642218049,['f57714a45b39d5a312d236e0512f11782e'],[0.47695929],"['33242d9a0d6c07f4fd0585092dc288d38a', '57dc79b5d846ee6891e70b900a681fbd49', 'c688e64cc6c9cfe752e777fbfd20f0edfc', 'f57714a45b39d5a312d236e0512f11782e']","[0.17256311, 0.08088241, 0.03705119, 0.18420143]",0.00226115
1507f6489ddf32d8a8efcfcfb4d7673b0f6420510a94a255c6544aa39caa1176,1642221187,"['b35e6207975232e8bc04ebccc02aabcee9', 'f09de5b50a96669a8b0bc049eae87dc5c7', '00616549f4d24e047419c1d3cab9a2e7c9']","[3.28383163, 6.50176391, 7.92953118]","['4f70aa43bd89f71e2cded8f7103a9e6536', '1ce4e884247b237e6f932f4fe4ff30e68a']","[7.59946095, 10.08701081]",0.02865496
a323705f15e1b9fbab3c8a0aa8881d9658e656d0cde10848ba5aba45ff186a3f,1642290075,"['5dde0eb7987d5b618a28b82e3855f58ed5', '00616549f4d24e047419c1d3cab9a2e7c9', '21ed0ce9c8b33c23665335828ff5978a6a']","[0.97420697, 9.20862873, 5.6858437]","['eb7c978163c0be3286d2f9ad91b72e7ddd', '6a640b6e18cd110a9a6f70a51c7bb83448']","[5.25914951, 10.4992714]",0.11025849
3238d39e2fda2eb26e984eec4c3e4ccedf5d793883f04eb67522b1caefc60503,1642306815,"['f7f299f4f5627d077db8c0d82399e47cbe', '6a109a5483459f2e36349c02320dc654af']","[4.78256859, 1.245056]","['00616549f4d24e047419c1d3cab9a2e7c9', 'a34befdebd0038a906d33cdf6be8430099', '83b6dc35e5bfde432beb436ac0d12b3933']","[1.63856661, 1.55671695, 2.77974408]",0.05259695
ef6d0b7d90dca3eeebbcdc8b28e6ec6baae715f7d5209cf5425d502e2d6821f4,1642336401,"['0fa651b189e813b9717081db7ddc066734', '6a640b6e18cd110a9a6f70a51c7bb83448', '4f70aa43bd89f71e2cded8f7103a9e6536', '1fb1679469a30fde6b7674ed39ef7e6cc5', '293cdd5e9dbddb1c2b6d3aa86eca72ff1c']","[0.90826129, 0.94929472, 0.99771827, 0.99428442, 0.95720278]","['4a32ecc1f191e2628ea52a1075d0a5fee4', '204953f0bcb5d1f3257c3a1932225265ec', '1fb1679469a30fde6b7674ed39ef7e6cc5', '8b6a7d5536f920666cda39a3cabdc7e722', 'c165a91581c7a5438be7d75e37efd69c08']","[1.33483624, 1.33483624, 1.33483624, 1.33483624, 1.33483624]",0.02523864
895672f8afba1b33638239b5cc0e7dcc6d53b43507f39387022de888e9a05bdf,1642403794,"['f7f299f4f5627d077db8c0d82399e47cbe', '01c3ef7943ceab1f533b84a47a659a7ca3']","[6.87954925, 8.29824958]","['4fc32d460327110dce173d6f2a3cce1fe0', 'd2f51e246c47624985c6d13d3845926fb9', '063c002314c42769dcd4745ab373fdbadc', 'c6f46a8d7a1b9164847192d700cd9047ed', '1f270ce14af33fdd3b524d8018e7066642']","[2.74940545, 1.84519492, 4.36372658, 2.20651563, 3.94951579]",0.06344046
931ce63c29fc3a93e99f56cd6faec113f1ac17afaf662f36c2daf327ea121809,1642415590,['83ffdcd06c234cd44863f2b51aa6975068'],[3.43843546],"['5cb67ecf3b63f743e4b925049800a2da73', '1ce37b10c54a2bb9ee4e1010871007b1b9', '293cdd5e9dbddb1c2b6d3aa86eca72ff1c']","[1.20267063, 1.25225647, 0.9453558]",0.06297404
a86a8bf9f42458784952dd4852e7702aadb43db6ba310136fc78cf5c634eded5,1642436152,"['1d5b65d7e840afcfd23c4d74aca5b322cb', '714d933a74a1c045390802a19ba3f5b2ee', 'c6f46a8d7a1b9164847192d700cd9047ed']","[7.65020548, 8.01025745, 3.90305417]","['2e30e81d131f2de44acd87f5ae87f89f0b', '6a109a5483459f2e36349c02320dc654af', '5fb3cc65954d625073a73fcbbfc0e95afd', '6a640b6e18cd110a9a6f70a51c7bb83448']","[7.47892061, 2.51249409, 2.21177124, 7.22294446]",0.1373867
996a74a65dc839fe69cc36a7cb6f7aa712c6e558c27b6e5b810e56583feb4470,1642448923,"['00616549f4d24e047419c1d3cab9a2e7c9', '1a7cd91753ca4e52882b9576f1848b9341', '1ce4e884247b237e6f932f4fe4ff30e68a']","[3.61588225, 6.63400462, 7.86055422]","['31da545c3b644ef18d1536ee7e86f25466', '00616549f4d24e047419c1d3cab9a2e7c9', 'f7bfbdd41819c8d7762b5de62811b92a23']","[4.833748, 3.74664637, 9.41145989]",0.11858683
ff70370c0a7f308fe17f43caa90b959a3ec2a9f09b88347009bbc55c5d2490a4,1642477689,['513ce67efc26cb401aada2433d91df8dc6'],[7.74486338],"['58fd04d6dfc4233503f56aefa520a0c363', 'a0eda8720179ffd4f242412599cadb012b', '50a2f80c864d124ccf368f3e5505b11c5e', '1f270ce14af33fdd3b524d8018e7066642']","[0.96349524, 1.88911583, 1.63286525, 3.23026273]",0.02912433
12dd4276c80834a1cc0123ccbab7244f8555d1a756f0370479855d080cd79cae,1642498668,"['15ac7f3765ec60a9ea32036a9790c8a449', '21ed0ce9c8b33c23665335828ff5978a6a', '9293c0d7a4124b43ce3460a016a622dd68']","[1.51601171, 8.7603613, 8.42587279]","['1fb1679469a30fde6b7674ed39ef7e6cc5', 'c816c976cc4e32fe16f3356407338a4e37', '12baa8ceb4b8d6139d5959b0e7ed40f677']","[3.0192033, 4.26197971, 11.28909866]",0.13196413
30fac06bf0d6e273aa52e2f0aec699b0b17563b09099b7452f8f0938690a35a0,1642537903,"['714d933a74a1c045390802a19ba3f5b2ee', '8f9ff7ea57c5d14eece13c30dfa504e2e2', 'e34925d40f59776c5d371739815d29f666']","[3.7726127, 2.75294979, 2.30411535]","['68a2e49402e529f2b97cee875f27d12a61', '64ebf564c12a6b63915a6342c8e7dbb024', '9b511c4f31439699097e89f1c6e33773a8']","[2.99789458, 1.73571418, 4.06102804]",0.03504104
cd60b64bbb637ec240b9b76d67a3d64e28cfcbf3721fc97bb74feb9834062cf9,1642548750,['83ffdcd06c234cd44863f2b51aa6975068'],[2.23055536],"['6600f41d286b096050b052934fb6ede06d', '839cd16f9859ded0fcb393c34e20a2a717', 'f5b815022c686bee76cc6b81bba45c339e']","[0.35636658, 0.82514008, 0.63817274]",0.02322857
fb4524bdb16795c6e163d0d6f90ef564cf470aaffbdaeabb0d446aee123ce76c,1642569948,['771216b25a4852420805da129f1de6a3e5'],[0.00021939],['d5379a3162d47a6f1de81f06682f9b38d2'],[0.00023133],8.421e-05
858fdf1dcccadbef2f28f6ae82aa1e802cc30e933e07a752fbdfbb21ce58565b,1642615843,['12baa8ceb4b8d6139d5959b0e7ed40f677'],[1.35777494],['b1be9a98aa8ee4f0da6880d6d08fc1cc4c'],[1.24343536],0.05812191
4cef4cc933b294410567436e3c01581e0f967022d2be83d993dc9d02ca0f2dad,1642673336,"['d2f51e246c47624985c6d13d3845926fb9', '1a7cd91753ca4e52882b9576f1848b9341', '50a2f80c864d124ccf368f3e5505b11c5e']","[1.05093501, 1.04134408, 0.90815314]","['58fd04d6dfc4233503f56aefa520a0c363', '1f270ce14af33fdd3b524d8018e7066642', 'edc66288a86874a560b59eb3d8d39d5b0e']","[1.13030438, 1.13030438, 1.13030438]",0.04494905
303c3ec8b3d1759cf47d7a23b18fb0246724c515bf34f9af70480f775ec17c31,1642780539,"['728aaacee6a67e65a0e83b092e1288f43c', '5fb3cc65954d625073a73fcbbfc0e95afd', '26e37e6156a7b52a215995b2b1f61e2937']","[9.28391967, 2.24541567, 6.27254999]","['618310393e6719583e61accbb8b3d095f2', '33242d9a0d6c07f4fd0585092dc288d38a', '31da545c3b644ef18d1536ee7e86f25466', 'c165a91581c7a5438be7d75e37efd69c08']","[2.282487, 2.86067945, 4.49677788, 8.09446085]",0.06748015
a732b00cf9fdb70eaf82ef71336c1f046392b1506d5c8d846b1fade69f23c4a5,1642802610,['b2f1bf21d8c2cf0edc34739a9c20c7c314'],[9.73485603],"['15ac7f3765ec60a9ea32036a9790c8a449', '513ce67efc26cb401aada2433d91df8dc6', '87309855481bdfaedd71f4dbff29ceab67', '4d6a36cd44d977a6a3c9ff68c2d94bbe1f']","[2.88567661, 2.01333785, 1.40414839, 3.35915639]",0.07253679
9a02edf7bc7bf37dbbbd261c1679c5311ef5603cb72eb87b6d33c80ffa272e8f,1642819931,"['a34befdebd0038a906d33cdf6be8430099', 'c6f46a8d7a1b9164847192d700cd9047ed']","[1.10837655, 3.9585824]",['83ffdcd06c234cd44863f2b51aa6975068'],[6.88616369],0.03731518
b6b70605855ac2f451a342f68ffe6bfcafbd3e13ce2c71ef427044d086da75c9,1642825810,['86be810244bf1d7841afdbf538c734f05a'],[3.80929237],"['4b37fe631826d132c908b222bb24844244', '1f270ce14af33fdd3b524d8018e7066642']","[1.32161708, 2.47779961]",0.00987568
c996938ba561e03db5fd7312825efabe32e9c925fe602452dec41368cbfa42b8,1642889446,"['1ce37b10c54a2bb9ee4e1010871007b1b9', '1898beeb684fae0b8a6c8e760521fcb3be', '21ed0ce9c8b33c23665335828ff5978a6a']","[4.44804675, 4.57168498, 5.22894463]","['f0e6035f2ebd8125aef8de92390bb4133d', '57821c9f957e3c8d861b46b6f61b2a0f65', 'b35e6207975232e8bc04ebccc02aabcee9']","[4.9907894, 4.30361666, 4.93179943]",0.02247087
c169a0688844f73d6ff3b466079b8fa62e80d2a42f1e73abd5b55e97a6b35985,1642959440,['25b36bac115db3b37f7fc3aa4dce631fe3'],[1.16090791],"['1a7cd91753ca4e52882b9576f1848b9341', '90cfb34f6424e918365dc2b8a377a2e912', 'b2f1bf21d8c2cf0edc34739a9c20c7c314', '42637b40a51b1ecfac1e88e3cd8e8f27ef']","[0.24006664, 0.44738569, 0.22564198, 0.245417]",0.0023966
a97f18dfe4bd10ab792f44b74d18ee1c3b584a99fad5f74026198ecfe54e15dd,1642986094,"['839cd16f9859ded0fcb393c34e20a2a717', '618310393e6719583e61accbb8b3d095f2', 'd5f7ce1a9e9dd4f30c87c8623e9d924773']","[8.16480562, 2.37483926, 8.62444142]","['edc66288a86874a560b59eb3d8d39d5b0e', 'b2f1bf21d8c2cf0edc34739a9c20c7c314', '90cfb34f6424e918365dc2b8a377a2e912', '5dde0eb7987d5b618a28b82e3855f58ed5']","[7.12595254, 4.31826085, 1.96206828, 5.57151768]",0.18628695
b3a39e07d90d5f4df0046065be1469b9d644a80709ca3882948d79bfcd0492e4,1643017208,"['063c002314c42769dcd4745ab373fdbadc', '1d5b65d7e840afcfd23c4d74aca5b322cb', 'fedac584dbf5cc030fc024c1283558ae18']","[0.88737395, 5.63136455, 7.50269031]","['6600f41d286b096050b052934fb6ede06d', '839cd16f9859ded0fcb393c34e20a2a717']","[4.5885236, 9.30602847]",0.12687674
9bd45a9c5f87efa3ed0a5496d5fd82bde376d95b20337ef58939f1f45b7a36e7,1643035543,['4b23494c157b8f6a714007f201882e8a32'],[1.66143783],"['33242d9a0d6c07f4fd0585092dc288d38a', 'b35e6207975232e8bc04ebccc02aabcee9', '4b23494c157b8f6a714007f201882e8a32']","[0.70054116, 0.44520879, 0.50296963]",0.01271825
be4d64487554f12fba163868f0aa75bebfb0c8a0e112ac91840af59f3e0bd0d8,1643069620,"['00616549f4d24e047419c1d3cab9a2e7c9', '575fefd9897d1f6ecfabd336768801dfb2']","[2.03688338, 3.46929119]",['40dd527ad2e14c2e3e0f88b95ce513e7c3'],[5.97976101],0.05474795
2d71697c4dcd690096a124c9606bef965b507f2c44a8f5bc000aaf06e734fef6,1643161032,"['d2f51e246c47624985c6d13d3845926fb9', '57821c9f957e3c8d861b46b6f61b2a0f65', '839cd16f9859ded0fcb393c34e20a2a717']","[3.88102372, 5.48174764, 2.54150999]",['466e6ef2593b995224662a73ffa118584b'],[11.86544816],0.03883319
84411887ef14d3bf6c2303b2e2ff874711a2142f69df70f85bec4e9652b837dd,1643201381,['5718e78ddc5f65b810e00292a6f69f3f43'],[2.875066],"['714d933a74a1c045390802a19ba3f5b2ee', '6137c8da21e2b596a5c2527ff7f4809d0e', '1a7cd91753ca4e52882b9576f1848b9341']","[1.42109499, 0.74782987, 0.7935969]",0.07525335
7b273f85910948988d1408d666bec659e5ddcdce035a6643fb74f968bc864307,1643203382,"['d24a67d9462218fae4672f3534f0ef1a9c', '728aaacee6a67e65a0e83b092e1288f43c', 'c816c976cc4e32fe16f3356407338a4e37']","[6.18846833, 2.19316035, 5.73389947]",['513ce67efc26cb401aada2433d91df8dc6'],[14.01174281],0.10378534
294af259d31bd9a814a4bfd72a81a73ac3c56c1e497bdfb011a8942c3556a192,1643206880,['5718e78ddc5f65b810e00292a6f69f3f43'],[2.43611381],"['25b36bac115db3b37f7fc3aa4dce631fe3', '87309855481bdfaedd71f4dbff29ceab67', '4f70aa43bd89f71e2cded8f7103a9e6536']","[0.32702455, 1.26113292, 0.70185753]",0.09549223
2b12462ea5afd0d568bfdfcc6cbc3fec000978750c3fda1fb5086551c5b560d0,1643237508,"['c816c976cc4e32fe16f3356407338a4e37', '8b6a7d5536f920666cda39a3cabdc7e722']","[6.32674375, 2.65073535]","['4b37fe631826d132c908b222bb24844244', '8b6a7d5536f920666cda39a3cabdc7e722', '4fc32d460327110dce173d6f2a3cce1fe0', 'a0eda8720179ffd4f242412599cadb012b', '1f270ce14af33fdd3b524d8018e7066642']","[4.32227763, 2.20284157, 0.73432696, 0.73784965, 0.89044697]",0.08973632
f27a76ce2f3f302790f4e7f47ee41c77eaf0706b2482095d29786caa6d78b22d,1643258559,['83ffdcd06c234cd44863f2b51aa6975068'],[3.94999041],"['eb7c978163c0be3286d2f9ad91b72e7ddd', '4f70aa43bd89f71e2cded8f7103a9e6536', '4fc32d460327110dce173d6f2a3cce1fe0']","[0.97482385, 1.44931944, 1.15648866]",0.06430317
c3e89f58d4a5d09f0c3e9eec1f8998cb8a27dc82d2d62162cf708337d4aa6a5b,1643270024,"['d24a67d9462218fae4672f3534f0ef1a9c', '63f9f80a4e6fb408230167739b0b61142d', '4b37fe631826d132c908b222bb24844244']","[1.00066696, 0.46517676, 7.14476816]","['6600f41d286b096050b052934fb6ede06d', 'a34befdebd0038a906d33cdf6be8430099', '26e37e6156a7b52a215995b2b1f61e2937', '1fb1679469a30fde6b7674ed39ef7e6cc5', 'fc4d038805914452f1832e9c15614afd5f']","[3.32663538, 0.73582852, 1.14822885, 0.80185563, 2.53694675]",0.06111675
911c8fd3e853ddfea5c941f929da74967fbabc07b74057ba0042659c53fbe2e8,1643276488,['1d9ce774cc4b3a48d47740c32320ba1106'],[1.36833101],['9edc0bd74e851183b758c5e58d7a798fd9'],[1.60203196],0.04391162
